movie_id,title,year,runtime,vote_average,vote_count,budget,revenue,original_language,decade
345,Eyes Wide Shut,1999,159,7.487,7149,65000000.0,162100000.0,en,1990
34584,The NeverEnding Story,1984,101,7.224,4429,27000000.0,20158808.0,de,1980
346364,It,2017,135,7.24,20476,35000000.0,719766009.0,en,2010
348,Alien,1979,117,8.171,16570,11000000.0,104931801.0,en,1970
348350,Solo: A Star Wars Story,2018,135,6.6,9364,250000000.0,392952373.0,en,2010
35,The Simpsons Movie,2007,87,7.023,8621,75000000.0,527068851.0,en,2000
350,The Devil Wears Prada,2006,109,7.4,13963,35000000.0,326588371.0,en,2000
351286,Jurassic World: Fallen Kingdom,2018,129,6.531,12873,170000000.0,1310469037.0,en,2010
353081,Mission: Impossible - Fallout,2018,147,7.45,9234,178000000.0,824171374.0,en,2010
353486,Jumanji: Welcome to the Jungle,2017,119,6.821,14625,90000000.0,995339117.0,en,2010
354912,Coco,2017,105,8.198,21169,175000000.0,814641172.0,en,2010
3558,"Girl, Interrupted",1999,127,7.561,4209,40000000.0,48350205.0,en,1990
357953,Return,1975,7,6.924,656,,,en,1970
3604,Flash Gordon,1980,111,6.3,1112,35000000.0,27100000.0,en,1980
363088,Ant-Man and the Wasp,2018,119,6.902,14298,140000000.0,622674139.0,en,2010
364,Batman Returns,1992,126,6.949,7168,80000000.0,280000000.0,en,1990
36557,Casino Royale,2006,144,7.6,11816,150000000.0,599045960.0,en,2000
36593,Naked Gun 33⅓: The Final Insult,1994,83,6.518,2565,30000000.0,132032598.0,en,1990
36647,Blade,1998,121,6.846,6819,45000000.0,131183530.0,en,1990
36657,X-Men,2000,104,7.02,12309,75000000.0,296339527.0,en,2000
36658,X2,2003,133,7.042,10987,110000000.0,407711549.0,en,2000
36668,X-Men: The Last Stand,2006,104,6.425,10487,210000000.0,459359555.0,en,2000
36670,Never Say Never Again,1983,134,6.1,1643,36000000.0,160000000.0,en,1980
36685,The Rocky Horror Picture Show,1975,100,7.446,3168,1400000.0,171181400.0,en,1970
36819,Time Bandits,1981,116,6.6,1168,5000000.0,42365581.0,en,1980
36955,True Lies,1994,141,7.098,4639,115000000.0,378900000.0,en,1990
37094,Falling Down,1993,113,7.397,4148,25000000.0,40903593.0,en,1990
37135,Tarzan,1999,88,7.409,7404,130000000.0,448200000.0,en,1990
37136,The Naked Gun: From the Files of Police Squad!,1988,86,7.286,4572,12000000.0,152356177.0,en,1980
37137,The Naked Gun 2½: The Smell of Fear,1991,85,6.821,2815,23000000.0,192030411.0,en,1990
37165,The Truman Show,1998,103,8.2,20497,60000000.0,264118712.0,en,1990
372058,Your Name.,2016,106,8.5,12732,7500000.0,405320132.0,ja,2010
37233,The Firm,1993,154,6.742,2338,42000000.0,270248367.0,en,1990
37247,The Graduate,1967,107,7.629,3727,3000000.0,104945305.0,en,1960
374720,Dunkirk,2017,107,7.45,17724,150000000.0,549136737.0,en,2010
3763,Onibaba,1964,105,7.674,487,,,ja,1960
377,A Nightmare on Elm Street,1984,91,7.4,5821,1800000.0,57004513.0,en,1980
37724,Skyfall,2012,143,7.3,16235,200000000.0,1108594176.0,en,2010
37799,The Social Network,2010,121,7.375,13300,40000000.0,224920315.0,en,2010
378,Raising Arizona,1987,94,7.054,2365,6000000.0,29180280.0,en,1980
3780,Red Beard,1965,185,8.2,412,650000.0,1110000.0,ja,1960
38,Eternal Sunshine of the Spotless Mind,2004,108,8.089,16498,20000000.0,72258126.0,en,2000
380,Rain Man,1988,134,7.754,7184,25000000.0,354825435.0,en,1980
381284,Hidden Figures,2016,127,8.045,10534,25000000.0,235957472.0,en,2010
381288,Split,2017,117,7.342,18457,9000000.0,278454358.0,en,2010
383498,Deadpool 2,2018,120,7.491,19405,110000000.0,785896632.0,en,2010
38356,Transformers: Dark of the Moon,2011,154,6.238,9037,195000000.0,1123794079.0,en,2010
387,Das Boot,1981,150,8.082,2558,14000000.0,85000000.0,de,1980
3870,1900,1976,317,7.801,688,9000000.0,,it,1970
38700,Bad Boys for Life,2020,124,7.113,8807,90000000.0,426505244.0,en,2020
38757,Tangled,2010,100,7.614,12512,260000000.0,592461732.0,en,2010
38985,Sorcerer,1977,122,7.457,668,22000000.0,9000000.0,en,1970
391,A Fistful of Dollars,1964,99,7.822,4775,200000.0,14500000.0,it,1960
39254,Real Steel,2011,127,7.126,9360,110000000.0,299300000.0,en,2010
393,Kill Bill: Vol. 2,2004,136,7.9,15225,30000000.0,152159461.0,en,2000
3933,Corpse Bride,2005,77,7.592,10295,40000000.0,118133252.0,en,2000
396,Who's Afraid of Virginia Woolf?,1966,131,7.686,925,7500000.0,33736689.0,en,1960
398818,Call Me by Your Name,2017,132,8.1,12846,3500000.0,43143046.0,en,2010
399055,The Shape of Water,2017,123,7.2,12948,19500000.0,195300000.0,en,2010
399579,Alita: Battle Angel,2019,122,7.268,10193,170000000.0,405000000.0,en,2010
4011,Beetlejuice,1988,92,7.371,8529,15000000.0,84554197.0,en,1980
402,Basic Instinct,1992,128,6.9,4440,49000000.0,352927224.0,en,1990
4024,Last Year at Marienbad,1961,95,7.434,547,,,fr,1960
402900,Ocean's Eight,2018,111,6.954,8877,70000000.0,297718711.0,en,2010
4032,My Girl,1991,103,7.422,2324,17000000.0,59490000.0,en,1990
403587,Return,1985,82,6.141,2701,,,en,1980
405774,Bird Box,2018,124,6.826,10692,19800000.0,,en,2010
406,La Haine,1995,98,8.081,4609,2600000.0,15300000.0,fr,1990
41050,La Notte,1961,122,7.926,744,,,it,1960
4108,The Transporter,2002,92,6.729,5896,21000000.0,43900000.0,en,2000
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,7.14,11624,180000000.0,745013115.0,en,2000
41154,Men in Black 3,2012,106,6.546,11075,225000000.0,654213485.0,en,2010
414,Batman Forever,1995,121,5.5,5649,100000000.0,336529144.0,en,1990
415,Batman & Robin,1997,125,4.396,5466,125000000.0,238207122.0,en,1990
4176,Murder on the Orient Express,1974,128,7.143,1596,1400000.0,35700000.0,en,1970
4192,Death on the Nile,1978,140,7.144,921,7920000.0,14560084.0,en,1970
419430,Get Out,2017,104,7.624,19085,4500000.0,255407969.0,en,2010
420817,Aladdin,2019,127,7.081,10705,183000000.0,1054304000.0,en,2010
420818,The Lion King,2019,118,7.095,10814,260000000.0,1662020819.0,en,2010
422,8½,1963,139,8.083,2551,,,it,1960
42229,A Special Day,1977,106,8.057,775,,,it,1970
42269,We All Loved Each Other So Much,1974,125,8.277,657,,,it,1970
423,The Pianist,2002,150,8.371,10267,35000000.0,120098945.0,en,2000
4232,Scream,1996,112,7.4,8090,14000000.0,173046663.0,en,1990
4235,The Sicilian Clan,1969,121,7.568,374,19000000.0,,fr,1960
424,Schindler's List,1993,195,8.57,17651,22000000.0,321365567.0,en,1990
424694,Bohemian Rhapsody,2018,135,7.955,17884,52000000.0,910813521.0,en,2010
4247,Scary Movie,2000,88,6.425,7984,19000000.0,278023280.0,en,2000
425,Ice Age,2002,81,7.381,14443,59000000.0,383257136.0,en,2000
42801,"Yesterday, Today and Tomorrow",1963,119,7.437,475,,,it,1960
429,"The Good, the Bad and the Ugly",1966,161,8.465,9777,1200000.0,38900000.0,it,1960
429617,Spider-Man: Far From Home,2019,129,7.396,17183,160000000.0,1132723226.0,en,2010
430,"One, Two, Three",1961,109,7.495,426,3000000.0,4000000.0,en,1960
431,Cube,1998,90,6.826,5297,257899.0,8969065.0,en,1990
4327,Charlie's Angels,2000,98,5.852,4560,92000000.0,264105545.0,en,2000
433,Mary Poppins,1964,139,7.546,5044,4650000.0,103100000.0,en,1960
4348,Pride & Prejudice,2005,128,8.055,8835,28000000.0,124604345.0,en,2000
435,The Day After Tomorrow,2004,124,6.561,8980,125000000.0,552639571.0,en,2000
439,La Dolce Vita,1960,174,8.031,2045,,19647000.0,it,1960
44115,127 Hours,2010,94,7.092,8167,18000000.0,35700000.0,en,2010
44214,Black Swan,2010,108,7.685,15681,13000000.0,329398046.0,en,2010
447332,A Quiet Place,2018,91,7.395,15500,17000000.0,340955294.0,en,2010
4476,Legends of the Fall,1994,133,7.4,2897,30000000.0,160638883.0,en,1990
4488,Friday the 13th,1980,95,6.402,3395,550000.0,39925100.0,en,1980
4497,Viridiana,1962,90,7.656,556,,679244.0,es,1960
450465,Glass,2019,129,6.665,9161,20000000.0,246999039.0,en,2010
45243,The Hangover Part II,2011,102,6.513,11388,80000000.0,586764305.0,en,2010
45269,The King's Speech,2010,118,7.733,9392,15000000.0,414211549.0,en,2010
453,A Beautiful Mind,2001,135,7.854,11197,58000000.0,316791257.0,en,2000
454,Romeo + Juliet,1996,120,6.8,5387,14500000.0,147298761.0,en,1990
4543,Monty Python's The Meaning of Life,1983,107,7.304,2132,9000000.0,42749697.0,en,1980
454626,Sonic the Hedgehog,2020,99,7.279,10467,85000000.0,319715683.0,en,2020
4547,Panic Room,2002,111,6.793,5477,48000000.0,197100000.0,en,2000
45612,Source Code,2011,93,7.314,9232,32000000.0,147332697.0,en,2010
458156,John Wick: Chapter 3 - Parabellum,2019,131,7.4,11886,55000000.0,328349908.0,en,2010
4593,The Discreet Charm of the Bourgeoisie,1972,101,7.5,925,800000.0,103230.0,fr,1970
4638,Hot Fuzz,2007,121,7.568,8448,12000000.0,80600000.0,en,2000
464052,Wonder Woman 1984,2020,151,6.364,9138,200000000.0,169601036.0,en,2020
